,ID,CHILD_DRIV,AGE,CHILDREN,YOJ,INCOME,HOUSE_VAL,STATUS,GENDER,EDU_LEVEL,JOB,DISTANCE,CAR_USE,VEHICLE_VAL,VEHICLE_TYPE,CLM_FREQ,REVOKED,MVR_PTS,CLAIM_AMOUNT,VEHICLE_AGE,CLAIM_IND,AREA,STATE_CODE
0,6921625014.0,0,67.0,0,14.0,53.841,359229.0,z_No,Mal,Bachelors,None,71,Private,21.97,Family,0,No,2,294.0,12.0,0,Highly Urban/ Urban,Berlin
1,1227899219.0,0,26.0,1,13.0,16.999,265527.0,,Fem,z_High School,Clerical,50,Private,4.01,unknown,4,No,7,292.0,12.0,0,Highly Urban/ Urban,Thueringen
2,1950523925.0,0,71.0,0,17.0,,323918.0,Yes,Mal,<High School,Teacher,77,Private,15.44,Minivan,0,No,0,387.0,8.0,0,Highly Urban/ Urban,Bayern
3,1743448001.0,0,68.0,0,,115.546,361705.0,Yes,Fem,PhD,Doctor,81,Private,18.0,unknown,4,Yes,3,308.0,19.0,0,Highly Urban/ Urban,Bayern
4,7371333285.0,0,32.0,1,15.0,125.861,70668.0,z_No,Fem,Bachelors,Teacher,91,Commercial,17.43,Sports Car,0,No,0,3.221,9.0,1,Highly Urban/ Urban,Bayern
5,4792605900.0,0,60.0,0,,19.715,,Yes,Fem,<High School,Teacher,78,Private,8.78,unknown,0,No,0,308.0,3.0,0,Highly Urban/ Urban,Bayern
6,7008254552.0,1,49.0,1,14.0,51.375,530010.0,,Mal,z_High School,None,66,Private,18.93,Minivan,3,No,2,6.658,3.0,1,Highly Urban/ Urban,Bayern
7,6003885605.0,0,68.0,2,15.0,44.446,111891.0,z_No,Fem,<High School,Teacher,75,Commercial,5.9,unknown,0,No,2,203.0,12.0,0,z_Highly Rural/ Rural,Bayern
8,4892513439.0,1,58.0,2,,108.921,480905.0,Yes,Mal,Bachelors,Teacher,89,Commercial,16.97,Van,1,Yes,10,4.312,9.0,1,Highly Urban/ Urban,Bayern
9,3577687613.0,0,23.0,0,13.0,64.338,300339.0,z_No,Fem,Bachelors,Clerical,79,Private,11.2,unknown,0,No,4,2.734,3.0,1,Highly Urban/ Urban,Berlin
10,3857190601.0,0,71.0,0,10.0,107.512,329784.0,z_No,Mal,Bachelors,Banking,93,Commercial,18.51,Van,0,No,3,331.0,19.0,0,z_Highly Rural/ Rural,Bayern
11,5308762039.0,0,62.0,0,17.0,78.06,106002.0,z_No,Fem,Masters,Nurse,60,Private,18.3,Sports Car,0,No,0,6.457,13.0,1,Highly Urban/ Urban,Thueringen
12,7990138122.0,0,50.0,0,8.0,53.202,315972.0,Yes,Fem,Masters,Banking,81,Private,22.42,Minivan,0,No,0,351.0,3.0,0,z_Highly Rural/ Rural,Nordrhein-Westfalen
13,6876791088.0,0,67.0,0,14.0,60.122,386347.0,Yes,Mal,Bachelors,Manager,70,Commercial,17.6,Family,4,Yes,5,321.0,11.0,0,Highly Urban/ Urban,Nordrhein-Westfalen
14,1665892909.0,0,49.0,0,14.0,131.355,594789.0,z_No,Mal,PhD,,109,Commercial,28.34,Panel Truck,0,No,5,1.586,12.0,1,Highly Urban/ Urban,Berlin
15,7214001584.0,0,49.0,2,,22.164,182559.0,z_No,Mal,z_High School,Clerical,119,Private,9.23,Pickup,2,Yes,2,320.0,6.0,0,z_Highly Rural/ Rural,Bayern
16,6089195886.0,0,55.0,0,3.0,960.0,371864.0,Yes,Fem,<High School,Home Maker,93,Private,6.0,unknown,2,No,5,3.135,7.0,1,Highly Urban/ Urban,Bayern
17,4640321940.0,0,34.0,3,15.0,52.444,410622.0,z_No,Fem,Bachelors,Clerical,88,Private,10.59,unknown,0,No,2,201.0,15.0,0,z_Highly Rural/ Rural,Bayern
18,10162500000.0,0,68.0,0,15.0,88.02,64779.0,z_No,Mal,z_High School,Manager,90,Private,15.42,Minivan,2,No,6,4.434,3.0,1,Highly Urban/ Urban,Bayern
19,2384816008.0,0,63.0,0,14.0,60.905,315876.0,Yes,Mal,Masters,Nurse,87,Private,14.19,Family,0,No,0,275.0,18.0,0,Highly Urban/ Urban,Bayern
20,2128011043.0,0,39.0,3,16.0,34.579,138987.0,Yes,Fem,Masters,None,72,Private,8.3,unknown,0,No,2,329.0,22.0,0,Highly Urban/ Urban,Sachsen-Anhalt
21,616676300.0,0,51.0,2,15.0,20.663,241022.0,Yes,Fem,<High School,Clerical,93,Private,17.33,Minivan,2,No,0,243.0,9.0,0,Highly Urban/ Urban,Bayern
22,7735668456.0,0,27.0,1,16.0,45.037,724164.0,Yes,Fem,z_High School,Teacher,74,Commercial,8.71,unknown,4,No,2,7.206,3.0,1,Highly Urban/ Urban,Mecklenburg-Vorpomme
23,1528342092.0,0,52.0,0,16.0,38.174,,Yes,Mal,<High School,Teacher,97,Commercial,26.56,Panel Truck,0,No,5,3.986,3.0,1,Highly Urban/ Urban,Bayern
24,5652879254.0,0,42.0,0,17.0,96.834,365350.0,Yes,Fem,Masters,Nurse,81,Private,11.13,unknown,1,No,7,290.0,16.0,0,Highly Urban/ Urban,Bayern
25,5411180449.0,0,45.0,0,14.0,47.241,23556.0,z_No,Fem,<High School,Teacher,74,Private,19.7,Racing,0,No,1,295.0,7.0,0,Highly Urban/ Urban,Bayern
26,6254670480.0,2,50.0,2,3.0,560.0,512241.0,Yes,Fem,z_High School,Home Maker,53,Private,5.9,unknown,5,No,0,327.0,13.0,0,Highly Urban/ Urban,Mecklenburg-Vorpomme
